Provider Name,Website,Program Name,Description,Day of the week,Start time,End time,Start date,End date,Required Days/Week,Enrollment Type,Min Age,Max Age,Prerequisite,Cost,Number Class,Cost Per Class,Session Length,Cost Per Hour,Address,Interest Category,Enrollment Status,Program Type,School Pickup From,Instructor Language,Contact Email,Contact Phone,Grade_Level
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Monday,3:30 PM,4:20 PM,9/8/2025,1/26/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Tuesday,3:30 PM,4:20 PM,9/9/2025,2/3/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Tuesday,4:30 PM,5:20 PM,9/9/2025,2/3/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,3:15 PM,4:05 PM,9/3/2025,2/4/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,4:00 PM,4:50 PM,9/3/2025,2/4/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Thursday,3:30 PM,4:20 PM,9/4/2025,2/5/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,3:15 PM,4:05 PM,9/5/2025,1/30/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,4:00 PM,4:50 PM,9/5/2025,1/30/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,9:30 AM,10:20 AM,9/6/2025,1/24/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,10:00 AM,10:50 AM,9/6/2025,1/24/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,11:00 AM,11:50 AM,9/6/2025,1/24/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,8:30 AM,9:20 AM,9/7/2025,1/25/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,9:00 AM,9:50 AM,9/7/2025,1/25/2026,1,Semester Based,4,5,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Monday,2:45 PM,3:40 PM,9/8/2025,1/26/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Waitlist,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Monday,3:15 PM,4:10 PM,9/8/2025,1/26/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Monday,3:30 PM,4:25 PM,9/8/2025,1/26/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Monday,3:45 PM,4:40 PM,9/8/2025,1/26/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,3:15 PM,4:10 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,3:30 PM,4:25 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,3:45 PM,4:40 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,4:00 PM,4:55 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,4:15 PM,5:10 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Tuesday,4:30 PM,5:25 PM,9/9/2025,2/3/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,2:45 PM,3:40 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,3:00 PM,3:55 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,3:15 PM,4:10 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,3:30 PM,4:25 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,3:45 PM,4:40 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,4:00 PM,4:55 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Wednesday,4:30 PM,5:25 PM,9/3/2025,2/4/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,2:45 PM,3:40 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,3:15 PM,4:10 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,3:30 PM,4:20 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,3:45 PM,4:40 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,4:15 PM,5:10 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Thursday,4:30 PM,5:25 PM,9/4/2025,2/5/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Friday,3:00 PM,3:55 PM,9/5/2025,1/30/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Friday,3:15 PM,4:10 PM,9/5/2025,1/30/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Girls Beginner,"Basics of women’s Olympic events: vault, uneven bars, balance beam, and floor exercise",Friday,3:30 PM,4:25 PM,9/5/2025,1/30/2026,1,Semester Based,5,6,None,"1,240",20,62,0.92,67.64,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
